2	to
2day	today
2nite	tonight
4	for
4u	for you
4ward	forward
10q	thank you
10x	thanks
a3	anyplace, anywhere, anytime
a/n	author note
a/w	anyway
a/s/l	age / sex / location
adn	any day now
afaic	as far as i'm concerned
afaik	as far as i know
afk	away from keyboard
aggro	aggresive
aight	alright
aka	also known as
alol	actually laughing out loud
amigo	friend
amz	amazing
asap	as soon as possible
atm	at the moment
atw	all the way
b/c	because
b-day	birthday
bday	birthday
b4	before
b4n	bye for now
bae	before anyone else
bak	back at the keyboard
bbl	be back later
becuz	because
bent	angry
bestie	best friend
besty	best friend
bf	boyfriend
bff	best friends forever
bffe	best friends forever
bfn	bye for now
bg	big grin
bmfe	best mates forever
bmfl	best mates life
bozo	idiot
brah	friend
bravo	well done
brb	be right back
bro	brother
bta	but then again
btdt	been there done that
btr	better
btw	by the way
buddy	friend
c'mon	came on
cid	crying in disgrace
congrats	congratulations
congratz	congratulations
coz	because
cu	see you
cuddy	friends
cul	see you later
cul8r	see you later 
cutie	cute
cuz	because
cya	see you
cyo	see you online 
dbau	doing business as usual
deets	details
dmn	damn
dunno	don't know
dwi	deal with it
dyd	don't you dare
ermahgerd	oh my gosh
eu	europe
ez	easy
f9	fine
fav	favorite
fb	facebook
flick	movie
fml	fuck my life.
foxy	sexy
friggin	freaking
fttn	for the time being
ftw	fuck the what
fud	fear, uncertainty, and doubt
fwiw	for what it's worth
fyi	for your information
g2g	got to go
ga	go ahead 
gal	get a life
getcha	understand 
gf	girlfriend
gfn	gone for now
gg	good game
gj	good job
gky	go kill yourself
gl	good luck
glhf	good luck have fun
gmab	give me a break
gmbo	giggling my butt off 
gmta	great minds think alike
goof	idiot
goofy	idiot
gr8	great
gtg	got to go
gud	good
h8	hate
hagn	have a good night 
hf	have fun
hml	hate my life
hoas	hold on a second
hhis	hanging head in shame 
hmu	hit me up
hru	how are you
twt	hope this helps
hw	homework
i'ma	i am going to
iac	in any case 
ic	I see 
icymi	in case you missed it
idk	i don't know
iggy	ignore 
iht	i had to
ikr	i know right?
ilt	i like that
ily	i love you
ima	i am going to 
imao	in my arrogant opinion
imnsho	in my not so humble opinion
imo	in my opinion
imy	i miss you
iou	i owe you
iow	in other words
ipn	I’m posting naked 
irl	in real life
j/k	just kidding
jdi	just do it
jk	just kidding
jkn	joking
jyeah	yeah
kinda	kind of
l8	late
l8r	later
